date,kg,
2023/8/9,,
2023/8/10,,
2023/8/11,,
2023/8/12,,
2023/8/13,,
2023/8/14,,
2023/8/15,,
2023/8/16,,
2023/8/17,,
2023/8/18,,
2023/8/19,,
2023/8/20,,
2023/8/21,,
2023/8/22,,
2023/8/23,,
2023/8/24,,
2023/8/25,,
2023/8/26,,
2023/8/27,,
2023/8/28,,
2023/8/29,,
2023/8/30,,
2023/8/31,,
2023/9/1,,
2023/9/2,,
2023/9/3,,
2023/9/4,,
2023/9/5,,
2023/9/6,,
2023/9/7,,
2023/9/8,,
2023/9/9,,
2023/9/10,,
2023/9/11,,
2023/9/12,,
2023/9/13,,
2023/9/14,,
2023/9/15,,
2023/9/16,,
2023/9/17,,
2023/9/18,,
2023/9/19,,
2023/9/20,,
2023/9/21,,
2023/9/22,,
2023/9/23,,
2023/9/24,,
2023/9/25,,
2023/9/26,,
2023/9/27,,
2023/9/28,,
2023/9/29,,
2023/9/30,,
2023/10/1,,
2023/10/2,,
2023/10/3,,
2023/10/4,,
2023/10/5,,
2023/10/6,,
2023/10/7,,
2023/10/8,,
2023/10/9,,
2023/10/10,,
2023/10/11,,
2023/10/12,,
2023/10/13,,
2023/10/14,,
2023/10/15,,
2023/10/16,,
2023/10/17,,
2023/10/18,,
2023/10/19,,
2023/10/20,,
2023/10/21,,
2023/10/22,,
2023/10/23,,
2023/10/24,,
2023/10/25,,
2023/10/26,,
2023/10/27,,
2023/10/28,,
2023/10/29,,
2023/10/30,,
2023/10/31,,
2023/11/1,,
2023/11/2,,
2023/11/3,,
2023/11/4,,
2023/11/5,,
2023/11/6,,
2023/11/7,,
2023/11/8,,
2023/11/9,,
2023/11/10,,
2023/11/11,,
2023/11/12,,
2023/11/13,,
2023/11/14,,
2023/11/15,,
2023/11/16,,
2023/11/17,,
2023/11/18,,
2023/11/19,,
2023/11/20,,
2023/11/21,,
2023/11/22,,
2023/11/23,,
2023/11/24,,
2023/11/25,,
2023/11/26,,
2023/11/27,,
2023/11/28,,
2023/11/29,,
2023/11/30,,
2023/12/1,,
2023/12/2,,
2023/12/3,,
2023/12/4,,
2023/12/5,,
2023/12/6,,
2023/12/7,,
2023/12/8,,
2023/12/9,,
2023/12/10,,
2023/12/11,,
2023/12/12,,
2023/12/13,,
2023/12/14,,
2023/12/15,,
2023/12/16,,
2023/12/17,,
2023/12/18,,
2023/12/19,,
2023/12/20,,
2023/12/21,,
2023/12/22,,
2023/12/23,,
2023/12/24,,
2023/12/25,,
2023/12/26,,
2023/12/27,,
2023/12/28,,
2023/12/29,,
2023/12/30,,
2023/12/31,,
2022/1/1,,
2022/1/2,74.0 ,18.4 
2022/1/3,73.0 ,18.4 
2022/1/4,73.7 ,17.9 
2022/1/5,73.9 ,18.0 
2022/1/6,,
2022/1/7,,
2022/1/8,,
2022/1/9,,
2022/1/10,74.4 ,18.5 
2022/1/11,75.1 ,19.8 
2022/1/12,74.7 ,18.6 
2022/1/13,75.0 ,18.9 
